L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,t_A,t_B,t_sketching,t_sampling,variable
17.896658422860554,17.8971466129558,0.0004881900952469,10000000,5,3,0,0.01,1,1546.875,328.125,1703.125,187.5,k
31.71091344407961,21.70054891351106,-10.010364530568548,10000000,5,3,0,0.01,1,1078.125,343.75,1750.0,187.5,k
21.7002673398784,21.70055056538849,0.0002832255100919,10000000,5,3,0,0.01,1,1500.0,328.125,1781.25,187.5,k
40.14152418786716,30.503096209355657,-9.638427978511505,10000000,5,3,0,0.01,1,1093.75,328.125,1734.375,187.5,k
30.50259822806551,30.50338105328241,0.0007828252169019,10000000,5,3,0,0.01,1,1515.625,296.875,1718.75,187.5,k
35.16498186069655,31.818785940407853,-3.3461959202886966,10000000,5,3,0,0.01,1,1046.875,312.5,1703.125,203.125,k
31.817672901325643,31.818136084075515,0.000463182749872,10000000,5,3,0,0.01,1,1484.375,296.875,1750.0,187.5,k
53.496992544539005,37.35478246285465,-16.142210081684354,10000000,5,3,0,0.01,1,1000.0,328.125,1718.75,187.5,k
37.35383349521252,37.35418465454293,0.0003511593304139,10000000,5,3,0,0.01,1,1484.375,296.875,1671.875,187.5,k
52.63075802346164,44.66287968021675,-7.967878343244891,10000000,5,3,0,0.01,1,1000.0,312.5,1703.125,187.5,k
44.66159063842414,44.66228866208422,0.0006980236600853,10000000,5,3,0,0.01,1,1531.25,328.125,1812.5,187.5,k
61.78422457796715,48.22112238970507,-13.56310218826208,10000000,5,3,0,0.01,1,1015.625,359.375,1718.75,187.5,k
48.219957593158114,48.22057459050069,0.0006169973425755,10000000,5,3,0,0.01,1,1500.0,312.5,1734.375,171.875,k
49.694511287449046,46.94593994514938,-2.7485713422996696,10000000,5,3,0,0.01,1,1046.875,296.875,1750.0,187.5,k
46.94550645905339,46.9464712970355,0.0009648379821101,10000000,5,3,0,0.01,1,1484.375,312.5,1703.125,187.5,k
9.14923878537513,5.626120230822677,-3.523118554552454,10000000,5,3,0,0.01,1,1062.5,328.125,1718.75,203.125,k_imposed
5.625850099331282,5.625931677797417,8.157846613521258e-05,10000000,5,3,0,0.01,1,1515.625,296.875,1765.625,203.125,k_imposed
8.427563006413347,5.361649509687167,-3.0659134967261803,10000000,5,4,0,0.01,1,1343.75,296.875,1859.375,187.5,k_imposed
5.361415293013342,5.366062757863954,0.0046474648506125,10000000,5,4,0,0.01,1,1703.125,296.875,1843.75,187.5,k_imposed
5.222144875656156,5.180361810615078,-0.0417830650410779,10000000,5,5,0,0.01,1,1656.25,312.5,2187.5,187.5,k_imposed
