n_datapoints,n_features,n_clusters,t_A_median,t_A_min,t_A_max,t_B_median,t_B_min,t_B_max,median_cluster_size,min_cluster_size,max_cluster_size
138509.0,14.0,3.0,46875000.0,15625000.0,78125000.0,0.0,0.0,31250000.0,46169.666666666664,153.0,136648.0
138509.0,14.0,4.0,62500000.0,0.0,93750000.0,0.0,0.0,15625000.0,34627.25,126.0,134633.0
138509.0,14.0,5.0,62500000.0,46875000.0,125000000.0,7812500.0,0.0,15625000.0,27701.8,66.0,135017.0
138509.0,14.0,6.0,78125000.0,46875000.0,109375000.0,15625000.0,0.0,31250000.0,23084.833333333332,19.0,134853.0
138509.0,14.0,7.0,78125000.0,46875000.0,125000000.0,0.0,0.0,31250000.0,19787.0,8.0,134662.0
138509.0,14.0,8.0,93750000.0,62500000.0,156250000.0,0.0,0.0,31250000.0,17313.625,8.0,134254.0
138509.0,14.0,9.0,78125000.0,62500000.0,156250000.0,0.0,0.0,15625000.0,15389.888888888889,7.0,134247.0
138509.0,14.0,10.0,93750000.0,62500000.0,125000000.0,0.0,0.0,15625000.0,13850.9,7.0,124973.0
138509.0,14.0,11.0,93750000.0,62500000.0,125000000.0,0.0,0.0,15625000.0,12591.727272727272,7.0,110830.0
138509.0,14.0,12.0,109375000.0,78125000.0,125000000.0,0.0,0.0,15625000.0,11542.416666666666,6.0,110815.0
138509.0,14.0,13.0,109375000.0,78125000.0,171875000.0,0.0,0.0,15625000.0,10654.538461538461,7.0,104503.0
138509.0,14.0,14.0,125000000.0,62500000.0,250000000.0,0.0,0.0,15625000.0,9893.5,7.0,97204.0
732977.0,17.0,3.0,296875000.0,156250000.0,359375000.0,31250000.0,15625000.0,46875000.0,244325.66666666666,89945.0,328474.0
732977.0,17.0,4.0,343750000.0,171875000.0,468750000.0,31250000.0,15625000.0,46875000.0,183244.25,56117.0,331372.0
732977.0,17.0,5.0,406250000.0,218750000.0,515625000.0,31250000.0,0.0,62500000.0,146595.4,53367.0,227843.0
732977.0,17.0,6.0,437500000.0,265625000.0,546875000.0,31250000.0,15625000.0,62500000.0,122162.83333333333,28828.0,203501.0
732977.0,17.0,7.0,500000000.0,359375000.0,609375000.0,31250000.0,0.0,31250000.0,104711.0,23673.0,180641.0
732977.0,17.0,8.0,531250000.0,406250000.0,796875000.0,31250000.0,0.0,46875000.0,91622.125,20103.0,172554.0
732977.0,17.0,9.0,609375000.0,437500000.0,765625000.0,31250000.0,0.0,46875000.0,81441.88888888889,20190.0,118112.0
732977.0,17.0,10.0,656250000.0,546875000.0,765625000.0,31250000.0,15625000.0,46875000.0,73297.7,20190.0,109788.0
732977.0,17.0,11.0,703125000.0,531250000.0,796875000.0,31250000.0,0.0,46875000.0,66634.27272727272,20103.0,109788.0
732977.0,17.0,12.0,750000000.0,625000000.0,859375000.0,31250000.0,15625000.0,46875000.0,61081.416666666664,20103.0,109788.0
732977.0,17.0,13.0,765625000.0,656250000.0,1015625000.0,31250000.0,15625000.0,46875000.0,56382.846153846156,20103.0,87188.0
732977.0,17.0,14.0,750000000.0,687500000.0,796875000.0,31250000.0,15625000.0,31250000.0,52355.5,10958.0,90102.0
