n_datapoints,n_features,n_clusters,t_A_avg,t_A_min,t_A_max,t_B_avg,t_B_min,t_B_max,avg_cluster_size,min_cluster_size,max_cluster_size
395807.0,17.0,4.0,0.17513133861400462,0.08799552917480469,0.21885347366333008,0.014215866724650065,0.011517047882080078,0.03815913200378418,98951.75,31187.0,177289.0
403137.0,17.0,4.0,0.17937489458032557,0.09098458290100098,0.21964144706726074,0.013577764098708695,0.01161956787109375,0.022162914276123047,100784.25,31744.0,180070.0
410467.0,17.0,4.0,0.17830594380696616,0.09363389015197754,0.19250059127807617,0.01770010789235433,0.01251220703125,0.04026293754577637,102616.75,32346.0,183054.0
417796.0,17.0,4.0,0.18258256261998956,0.0929415225982666,0.20096659660339355,0.014288793910633434,0.013163328170776367,0.016170501708984375,104449.0,32888.0,186096.0
425126.0,17.0,4.0,0.18840871986589933,0.09450697898864746,0.2234196662902832,0.014813473350123355,0.012221097946166992,0.04050469398498535,106281.5,33413.0,189154.0
432456.0,17.0,4.0,0.19175980641291693,0.09676384925842285,0.21234512329101562,0.01565969907320463,0.012567281723022461,0.03903317451477051,108114.0,34026.0,192067.0
439786.0,17.0,4.0,0.19856584072113037,0.09748291969299316,0.23235082626342773,0.016508887795840994,0.012662172317504883,0.04306292533874512,109946.5,34640.0,195783.0
447115.0,17.0,4.0,0.2010040341353998,0.09988188743591309,0.24168109893798828,0.015376445723742974,0.01360774040222168,0.020240068435668945,111778.75,35275.0,199172.0
454445.0,17.0,4.0,0.20147734153561475,0.1040499210357666,0.22271418571472168,0.01775044348181748,0.013623714447021484,0.04535198211669922,113611.25,35854.0,202360.0
461775.0,17.0,4.0,0.20630809664726257,0.1042790412902832,0.2437756061553955,0.01571980118751526,0.013610601425170898,0.019768953323364258,115443.75,36412.0,205674.0
469105.0,17.0,4.0,0.20812595251834753,0.10811376571655273,0.23844051361083984,0.017541068972963276,0.013610363006591797,0.04669833183288574,117276.25,36955.0,209391.0
